bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,checksec,used_nvram_env,full_path,bdg
apneaps,MIPS,0,1,"['libpthread.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/apneaps,[]
neaps,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/neaps,[]
autorekeysleep,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/autorekeysleep,[]
eapolclient,MIPS,0,0,"['libpthread.so.0', 'libgcc_s.so.1', 'libc.so.0']",['TOP'],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/eapolclient,"['wpa_supplicant', 'httpd', 'hostapd']"
iputils-ping6,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/iputils-ping6,[]
apneapc,MIPS,0,1,"['libpthread.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/apneapc,[]
ldapwhoami,MIPS,0,0,"['libssl.so.0.9.8', 'libcrypto.so.0.9.8', 'libgcc_s.so.1', 'libc.so.0']","['LDAPRC', 'LDAPCONF', 'LDAPNOINIT', 'HOME']","{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/ldapwhoami,"['ldapsearch', 'snmptrap', 'snmpd']"
neaps_array,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/neaps_array,[]
dhcp6-multi,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/dhcp6-multi,[]
dnrd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/dnrd,[]
