Vendor,Model,Version,Date,Checksum,Description,Download
D-Link(KR),DIR-868LW,DIR-868LW v2.00KR-K10 ,2019-05-31,,-업데이트 내용--* WoL 기능 사용 시 일정 시간 이후 클라이언트 리스트 필드 삭제되는 버그 수정,https://mydlink.co.kr/2008/data/DIR868LWB1_FW200KR-K10.bin
D-Link(KR),DIR-868LW,DIR-868LW v2.00KR-K09 ,2018-09-05,,--업데이트 내용--* WPA2 KRACK 패치 드라이버 적용* DNSMasq 2.78 업그레이드* 고정 DHCP 할당 기능 추가* Wake On LAN 기능 추가* 리피터 모드에서 멀티캐스트 스트림 사용 가능* 리피터 모드에서 메인 AP의 보안 모드에 따른 호환성 강화* L2TP 서버 설정 후 재부팅 시 클라이언트가 자동으로 연결되지 않는 버그 수정* 기타 보안 강화,https://mydlink.co.kr/2008/data/DIR868LWB1_FW200KR-K09.bin
D-Link(KR),DIR-868LW,DIR-868LW v2.00KR-K08 ,2017-08-30,,"--업데이트 내용--* VPN L2TP 클라이언트 설정 시,서버주소에 도메인 입력 가능하도록 변경.* VPN L2TP 서버 도메인 주소 자릿 수 변경. (최대 128자)",https://mydlink.co.kr/2008/data/DIR868LWB1_FW200KR-K08.bin
D-Link(KR),DIR-868LW,DIR-868LW v2.00KR-K07 ,2016-11-14,,--업데이트 내용--* L2PT VPN 서버 추가,https://mydlink.co.kr/2008/data/DIR868LWB1_FW200KR-K07.bin
D-Link(KR),DIR-868LW,DIR-868LW v2.00KR-K06 ,2016-01-07,,"--업데이트 내용--* VPN 클라이언트 설정 시,서버주소에 도메인 입력 가능하도록 변경.* VPN 서버 도메인 주소 자릿 수 변경. (최대 128자)",https://mydlink.co.kr/2008/data/DIR868LWB1_FW200KR-K06.bin
D-Link(KR),DIR-868LW,DIR-868LW v2.00KR-K05 ,2015-12-07,,--업데이트 내용-- * 초기 설치 시 설정마법사를 통해 보안 강화하도록WEB GUI 디자인 변경,https://mydlink.co.kr/2008/data/DIR868LWB1_FW200KR-K05.bin
D-Link(KR),DIR-868LW,DIR-868LW v2.00KR-K04 ,2015-11-13,,"--업데이트 내용--* VPN 서버 설정 시, IE 에서 사용자 2명이상 추가 불가 문제 수정* 공유기 IP 대역 변경 시 VPN 서버 WEB UI에서 반영 안되는 문제 수정* 관리자 비밀번호 규칙 변경 (특수문자 + 영문 + 숫자)",https://mydlink.co.kr/2008/data/DIR868LWB1_FW200KR-K04.bin
D-Link(KR),DIR-868LW,DIR-868LW v2.00KR-K03 ,2015-10-16,,--업데이트 내용--* 일부 스마트폰 SMB 어플과 호환성 수정* Shareport Web Access에서 긴 폴더명을 위한 스크롤바 기능 추가,https://mydlink.co.kr/2008/data/DIR868LWB1_FW200KR-K03.bin
D-Link(KR),DIR-868LW,DIR-868LW v2.00KR-K02 ,2015-10-12,,--업데이트 내용--* 부팅시 Multicast Traffic 으로 인한 IP 미할당문제 수정* DHCP 임대 만료시간 범위 오류 수정* DHCP 임대 범위 오류 수정* QoS 대역폭 기본값 수정 (기본값 1000Mbps)* WEB GUI에서 모델명 LW로 표기,https://mydlink.co.kr/2008/data/DIR868LWB1_FW200KR-K02.bin
D-Link(KR),DIR-868LW,DIR-868LW v2.00KR-K01 ,2015-10-02,,--업데이트 내용--* WEB GUI 버그 수정* WEB GUI 가독성 향상* WEB GUI 한글 표기 수정* 속도 저하 증상 발생 시 초기화 또는 QoS 대역폭 수정 후 사용 권장.,https://mydlink.co.kr/2008/data/DIR868LWB1_FW200KR-K01.bin
